Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
10558,TAMBERLY,LANE,,TAMBERLY LANE,503J2,PRIVATE STREET NAMES
2253,TENANGO,DR,,TENANGO DRIVE,560E4,PUBLIC STREET NAMES
2140,TOPHAM,ST,,TOPHAM STREET,560G1,PUBLIC STREET NAMES
2058,TUJUNGA,AVE,,TUJUNGA AVENUE,502H6,PUBLIC STREET NAMES
2131,TOQUET,DR,,TOQUET DRIVE,561C4,PUBLIC STREET NAMES
2176,TINA,PL,,TINA PLACE,560G4,PUBLIC STREET NAMES
2280,TARLETON,ST,,TARLETON STREET,674G1,PUBLIC STREET NAMES
2217,THATCHER,AVE,,THATCHER AVENUE,672A6,PUBLIC STREET NAMES
2295,TAHQUITZ,PL,,TAHQUITZ PLACE,630J5,PUBLIC STREET NAMES
2159,TOLAND,PL,,TOLAND PLACE,594J1,PUBLIC STREET NAMES
10189,TANAMACHI,LANE,,TANAMACHI LANE,734B5,PRIVATE STREET NAMES
2192,THURSTON,CIR,,THURSTON CIRCLE,631H1,PUBLIC STREET NAMES
2284,TARA,DR,,TARA DRIVE,561D4,PUBLIC STREET NAMES
10862,TAMARACK,CT,,TAMARACK COURT,501H6,PRIVATE ROADWAY NAMES
184,TOPAZ,ST,,TOPAZ STREET,595D6,PRIVATE STREET NAMES
2147,TONY,AVE,,TONY AVENUE,529E6,PUBLIC STREET NAMES
9736,TULSA,ST,,TULSA STREET,501G2,UNOFFICIAL PRIVATE STREET NAMES
2056,TUJUNGA CANYON,PL,,TUJUNGA CANYON PLACE,504C5,PUBLIC STREET NAMES
2097,TREGO,ST,,TREGO STREET,482C1,PUBLIC STREET NAMES
2213,THELMA,AVE,,THELMA AVENUE,595E6,PUBLIC STREET NAMES
2034,TUXFORD,PL,,TUXFORD PLACE,503A7,PUBLIC STREET NAMES
2204,THORNE,ST,,THORNE STREET,595E2,PUBLIC STREET NAMES
2057,TUJUNGA CANYON,BLVD,,TUJUNGA CANYON BOULEVARD,503J2,PUBLIC STREET NAMES
2040,TURQUESA,LANE,,TURQUESA LANE,630H4,PUBLIC STREET NAMES
2255,TEMPLE HILL,DR,,TEMPLE HILL DRIVE,593F3,PUBLIC STREET NAMES
2088,TRIGGER,PL,,TRIGGER PLACE,499H5,PUBLIC STREET NAMES
2224,TESLA,WALK,,TESLA WALK,594D4,PUBLIC STREET NAMES
2157,TOLEDO,CT,,TOLEDO COURT,671H6,PUBLIC STREET NAMES
2205,THORNBURN,ST,,THORNBURN STREET,703A1,PUBLIC STREET NAMES
2223,TEVIOT,ST,,TEVIOT STREET,594E4,PUBLIC STREET NAMES
2236,TERRACE 49,,,TERRACE 49,595A2,PUBLIC STREET NAMES
10663,TRIESTE,LANE,,TRIESTE LANE,500C1,PRIVATE STREET NAMES
2154,TOLTEC,WAY,,TOLTEC WAY,595D3,PUBLIC STREET NAMES
2252,TENDILLA,AVE,,TENDILLA AVENUE,560A3,PUBLIC STREET NAMES
181,TRIBUNE,ST,,TRIBUNE STREET,6B2,PRIVATE STREET NAMES
9915,TUNBRIDGE,CT,,TUNBRIDGE COURT,591G3,PRIVATE STREET NAMES
2195,THUNDERBIRD,AVE,,THUNDERBIRD AVENUE,480F7,PUBLIC STREET NAMES
2028,TWINING,ST,,TWINING STREET,595E6,PUBLIC STREET NAMES
2186,TIFFANY,AVE,,TIFFANY AVENUE,502B1,PUBLIC STREET NAMES
1647,TARZANA ESTATES,DR,,TARZANA ESTATES DRIVE,560F5,PRIVATE STREET NAMES
2212,THELMA,ST,,THELMA STREET,502J4,PUBLIC STREET NAMES
9620,TURTLE SPRINGS,WAY,,TURTLE SPRINGS WAY,480E6,PRIVATE STREET NAMES
2277,TARRYBRAE,TER,,TARRYBRAE TERRACE,560F5,PUBLIC STREET NAMES
2287,TAMPICO,AVE,,TAMPICO AVENUE,595E5,PUBLIC STREET NAMES
2271,TAVENER,AVE,,TAVENER AVENUE,672F4,PUBLIC STREET NAMES
2050,TULLIS,DR,,TULLIS DRIVE,592F4,PUBLIC STREET NAMES
2033,TUXFORD,ST,,TUXFORD STREET,503B7,PUBLIC STREET NAMES
10467,TERAMO,WAY,,TERAMO WAY,500D1,PRIVATE STREET NAMES
2072,TROUVILLE,AVE,,TROUVILLE AVENUE,NA,PUBLIC STREET NAMES
2187,TICA,DR,,TICA DRIVE,594B2,PUBLIC STREET NAMES
2130,TORRANCE,BLVD,,TORRANCE BOULEVARD,764A4,PUBLIC STREET NAMES
10755,TIM,LANE,,TIM LANE,531D6,PRIVATE ROADWAY NAMES
2027,TWIN OAK,ST,,TWIN OAK STREET,594F5,PUBLIC STREET NAMES
189,TERMINAL,ST,,TERMINAL STREET,634G6,PRIVATE STREET NAMES
2238,TERRACE VIEW,DR,,TERRACE VIEW DRIVE,561D6,PUBLIC STREET NAMES
10648,TIGER EYE,DR,,TIGER EYE DRIVE,794A5,PRIVATE ROADWAY NAMES
2135,TOPSAIL,CT,,TOPSAIL COURT,701J1,PUBLIC STREET NAMES
2210,THE PASEO,,,THE PASEO,594H2,PUBLIC STREET NAMES
2084,TRINO,WALK,,TRINO WALK,630H6,PUBLIC STREET NAMES
2182,TILDEN,AVE,,TILDEN AVENUE,502A7,PUBLIC STREET NAMES
10925,TISDALE,DR,,TISDALE  DRIVE,NA,PUBLIC STREET NAMES
2032,TWEED,LANE,,TWEED LANE,631G4,PUBLIC STREET NAMES
2231,TERRILL,AVE,,TERRILL AVENUE,595D4,PUBLIC STREET NAMES
2206,THOMICIA,PL,,THOMICIA PLACE,559E1,PUBLIC STREET NAMES
2164,TOBIAS,AVE,,TOBIAS AVENUE,501J6,PUBLIC STREET NAMES
2124,TORTUOSO,WAY,,TORTUOSO WAY,592A6,PUBLIC STREET NAMES
