Street ID,Street Name,Street Suffix,Street Suffix Direction,Official Street Name,Thomas Brothers Map,Street Type
7380,DENSLOW,AVE,,DENSLOW AVENUE,631J1,PUBLIC STREET NAMES
7121,DUOMO VIA,,,DUOMO VIA,591G1,PUBLIC STREET NAMES
664,D,CT,,D COURT,NA,PRIVATE STREET NAMES
7211,DORILEE,LANE,,DORILEE LANE,561E7,PUBLIC STREET NAMES
7118,DURAND,DR,,DURAND DRIVE,563F7,PUBLIC STREET NAMES
10747,DAISY,DR,,DAISY DRIVE,502A6,PRIVATE ROADWAY NAMES
645,DOANE CANYON,ROAD,,DOANE CANYON ROAD,NA,PRIVATE STREET NAMES
7216,DORCHESTER,AVE,,DORCHESTER AVENUE,595G6,PUBLIC STREET NAMES
7167,DRYSDALE,AVE,,DRYSDALE AVENUE,595E5,PUBLIC STREET NAMES
7448,DEL AMO,BLVD,,DEL AMO BOULEVARD,764A4,PUBLIC STREET NAMES
7291,DOMINO,ST,,DOMINO STREET,531H7,PUBLIC STREET NAMES
7195,DOVE,DR,,DOVE DRIVE,595A3,PUBLIC STREET NAMES
635,DUNSTAN,WAY,,DUNSTAN WAY,631H3,PRIVATE STREET NAMES
7275,DONALDSON,ST,,DONALDSON STREET,594F5,PUBLIC STREET NAMES
7509,DARWIN,AVE,,DARWIN AVENUE,635A1,PUBLIC STREET NAMES
7309,DODGE,AVE,,DODGE AVENUE,794B5,PUBLIC STREET NAMES
10903,DREAM,LANE,,DREAM LANE,502F1,LIMITED ACCESS AREA NAMES
8,DRONFIELD,TER,,DRONFIELD TERRACE,502F1,LIMITED ACCESS AREA NAMES
7505,DAVANA,ROAD,,DAVANA ROAD,562C5,PUBLIC STREET NAMES
10367,DISCOVERY,CK,,DISCOVERY CREEK,702D1,PUBLIC STREET NAMES
7203,DORSET,PL,,DORSET PLACE,793J2,PUBLIC STREET NAMES
7287,DONA CLARA,PL,,DONA CLARA PLACE,563A7,PUBLIC STREET NAMES
7304,DOLCEDO,WAY,,DOLCEDO WAY,592A5,PUBLIC STREET NAMES
7281,DONA EMILIA,DR,,DONA EMILIA DRIVE,562J7,PUBLIC STREET NAMES
7413,DELOR,DR,,DELOR DRIVE,595F7,PUBLIC STREET NAMES
7302,DOLORES,ST,,DOLORES STREET,594E1,PUBLIC STREET NAMES
7469,DEERHORN,ROAD,,DEERHORN ROAD,561G6,PUBLIC STREET NAMES
7533,DALMATIA,DR,,DALMATIA DRIVE,823J1,PUBLIC STREET NAMES
7450,DE LA GUERRA,ST,,DE LA GUERRA STREET,560A3,PUBLIC STREET NAMES
7492,DEANE,ST,,DEANE STREET,594E4,PUBLIC STREET NAMES
7335,DICKSON,ST,,DICKSON STREET,672A6,PUBLIC STREET NAMES
7273,DONA LISA,DR,,DONA LISA DRIVE,562J7,PUBLIC STREET NAMES
9664,DIVINO,,,DIVINO,823F7,UNOFFICIAL PRIVATE STREET NAMES
7210,DORINA,PL,,DORINA PLACE,481C5,PUBLIC STREET NAMES
7400,DEL SUR,ST,,DEL SUR STREET,502C1,PUBLIC STREET NAMES
7176,DRONFIELD,AVE,,DRONFIELD AVENUE,481J2,PUBLIC STREET NAMES
7207,DOROTHY,ST,,DOROTHY STREET,631G5,PUBLIC STREET NAMES
9663,DICKSON,CT,,DICKSON COURT,632B1,UNOFFICIAL PRIVATE STREET NAMES
662,DAILY,DR,,DAILY DRIVE,531E2,PRIVATE STREET NAMES
7296,DOMINGO,ROAD,,DOMINGO ROAD,559J4,PUBLIC STREET NAMES
7243,DON MARIANO,DR,,DON MARIANO DRIVE,673D3,PUBLIC STREET NAMES
9661,DE NEVE,DR,,DE NEVE DRIVE,632A1,UNOFFICIAL PRIVATE STREET NAMES
7147,DULUTH,LANE,,DULUTH LANE,592A5,PUBLIC STREET NAMES
7146,DUMETZ,ROAD,,DUMETZ ROAD,560A4,PUBLIC STREET NAMES
7523,DANNYBOYAR,AVE,,DANNYBOYAR AVENUE,529G6,PUBLIC STREET NAMES
7326,DITMAN,AVE,,DITMAN AVENUE,595D7,PUBLIC STREET NAMES
9830,DEARBORN,CT,,DEARBORN COURT,502F1,PRIVATE ROADWAY NAMES
